ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
49,3022,Backcountry Explorer XC Skis - 190cm,Ski,3,Contoso Ski Equipment,CON-3022,391.52,1,1000.0,12,Active,system,2025-12-02 13:37:49
50,3022,Backcountry Explorer XC Skis - 190cm,Ski,5,Fabrikam,FAB-3022,370.13,10,5000.0,22,Active,system,2026-01-20 13:37:49
51,3031,Pro Flex Racing Ski Boots,Ski,3,Contoso Ski Equipment,CON-3031,419.21,25,,15,Active,system,2025-10-07 13:37:49
52,3032,Comfort Fit Recreational Boots,Ski,3,Contoso Ski Equipment,CON-3032,290.29,50,5000.0,11,Active,system,2025-12-24 13:37:49
53,3033,Women's Performance Ski Boots,Ski,3,Contoso Ski Equipment,CON-3033,354.86,10,1000.0,15,Active,system,2026-02-05 13:37:49
54,3041,Carbon Fiber Racing Poles - 120cm,Ski,3,Contoso Ski Equipment,CON-3041,108.62,10,10000.0,13,Active,system,2025-10-31 13:37:49
55,3042,Aluminum All-Mountain Poles - 115cm,Ski,3,Contoso Ski Equipment,CON-3042,77.16,5,5000.0,13,Active,system,2025-10-12 13:37:49
56,3051,Insulated Ski Jacket - Men's,Ski,3,Contoso Ski Equipment,CON-3051,215.67,1,5000.0,9,Active,system,2025-09-12 13:37:49
57,3052,Thermal Base Layer Set - Women's,Ski,3,Contoso Ski Equipment,CON-3052,95.03,50,5000.0,13,Active,system,2025-09-17 13:37:49
58,3053,Waterproof Ski Pants,Ski,3,Contoso Ski Equipment,CON-3053,165.63,25,1000.0,9,Active,system,2025-12-20 13:37:49
59,3061,Professional Ski Helmet,Ski,3,Contoso Ski Equipment,CON-3061,159.02,50,1000.0,15,Active,system,2025-10-09 13:37:49
60,3061,Professional Ski Helmet,Ski,5,Fabrikam,FAB-3061,151.88,1,500.0,16,Active,system,2025-09-16 13:37:49
61,3062,Anti-Fog Ski Goggles,Ski,3,Contoso Ski Equipment,CON-3062,92.38,1,10000.0,13,Active,system,2025-12-27 13:37:49
62,3062,Anti-Fog Ski Goggles,Ski,5,Fabrikam,FAB-3062,88.77,25,5000.0,23,Active,system,2025-12-11 13:37:49
63,3071,Ski Boot Bag - Premium,Ski,3,Contoso Ski Equipment,CON-3071,47.86,5,,14,Active,system,2026-01-02 13:37:49
64,3072,Hand Warmers - 10 Pack,Ski,3,Contoso Ski Equipment,CON-3072,10.3,25,,15,Active,system,2025-11-24 13:37:49
65,3081,All-Temp Ski Wax Kit,Ski,3,Contoso Ski Equipment,CON-3081,50.85,50,10000.0,13,Active,system,2025-12-12 13:37:49
66,3082,Edge Tuning Tool Set,Ski,3,Contoso Ski Equipment,CON-3082,78.6,1,1000.0,14,Active,system,2025-11-28 13:37:49
67,3082,Edge Tuning Tool Set,Ski,4,Worldwide Importers,WOR-3082,93.15,50,5000.0,30,Active,system,2025-11-20 13:37:49
68,3091,Freestyle Snowboard - 155cm,Ski,3,Contoso Ski Equipment,CON-3091,488.75,10,10000.0,15,Active,system,2025-12-08 13:37:49
69,3091,Freestyle Snowboard - 155cm,Ski,4,Worldwide Importers,WOR-3091,535.18,25,,28,Active,system,2026-01-08 13:37:49
70,3092,All-Mountain Snowboard - 158cm,Ski,3,Contoso Ski Equipment,CON-3092,593.65,10,5000.0,11,Active,system,2026-02-02 13:37:49
71,3092,All-Mountain Snowboard - 158cm,Ski,5,Fabrikam,FAB-3092,588.38,25,5000.0,24,Active,system,2025-10-22 13:37:49
72,3101,Winter Boots - Insulated,Ski,3,Contoso Ski Equipment,CON-3101,104.94,50,1000.0,13,Active,system,2025-11-10 13:37:49
73,3102,Winter Hiking Boots - Waterproof,Ski,3,Contoso Ski Equipment,CON-3102,192.05,1,1000.0,12,Active,system,2025-10-08 13:37:49
74,3103,Snowboard Bindings - Pro,Ski,3,Contoso Ski Equipment,CON-3103,207.51,1,10000.0,12,Active,system,2025-12-31 13:37:49
75,3104,Ski Tuning Bench - Portable,Ski,3,Contoso Ski Equipment,CON-3104,119.94,10,5000.0,10,Active,system,2025-11-28 13:37:49
